Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Security_Index
0.001316181;0.001621329;3.31e-05;0.000459561;0.751327579 
0.001316181;0.001621329;3.31e-05;0.000459561;0.751327579 
0.001319858;0.001625006;3.31e-05;0.000452208;0.751379393 
0.001316181;0.001613977;3.31e-05;0.000455884;0.751353486 
0.001316181;0.001613977;3.31e-05;0.000455884;0.751353486 
0.001345593;0.001628682;3.31e-05;0.000463237;0.751301672 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002099272;0.002680157;5.51e-05;0.00060662;0.750291302 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002121331;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002117655;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002110302;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002110302;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002110302;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002110302;0.002698539;5.88e-05;0.000613973;0.750239488 
0.002128684;0.002720598;6.25e-05;0.000617649;0.741893304 
0.002139714;0.002731628;6.25e-05;0.000617649;0.741893304 
0.002139714;0.002731628;6.25e-05;0.000617649;0.741893304 
0.002139714;0.002731628;6.25e-05;0.000617649;0.741893304 
0.002139714;0.002731628;6.25e-05;0.000617649;0.741893304 
0.002180155;0.002779422;6.99e-05;0.000628679;0.730644682 
0.002180155;0.002779422;6.99e-05;0.000628679;0.730644682 
0.00221692;0.002816187;6.99e-05;0.000628679;0.730644682 
0.00221692;0.002816187;6.99e-05;0.000628679;0.730644682 
0.00221451;0.002813125;6.98e-05;0.000627995;0.730649866 
